name,division,tier
Arct,1,gold
Adam Krolikowski,1,gold
Andrew Rados,1,gold
Anton Rushevich,1,gold
Bailey Kish,1,gold
Chandler Williams,1,gold
Chris Kewley,1,gold
Dan Cran,1,gold
Ed Kerstetter,1,gold
Franco Sanchez,1,gold
Guy Manperson,1,gold
Jacob Hall,1,gold
Jeremy Mercer,1,gold
Joel Moffatt,1,gold
Jon Laz,1,gold
Kelvin Lau,1,gold
Michael Moening,1,gold
Mr Sir,1,gold
Noah Macomber,1,gold
Omar Escorcia,1,gold
Peter O'Brien,1,gold
Thiago Dinarte,1,gold
Alex Kruse,1,silver
Amos Movo,1,silver
Andrew Wilson,1,silver
Brooker Quigg,1,silver
Bryan Anderson,1,silver
Cody Platt,1,silver
Danny Durrance,1,silver
Douglas Mitchell,1,silver
Dyck Zipperburn Jr.,1,silver
Ethan Marvin,1,silver
Fire Queso,1,silver
Gordon Beverly III,1,silver
Ian Kreigar,1,silver
Jack Krouse,1,silver
Jakub Boosterski,1,silver
Jason Allen,1,silver
Jon Archie,1,silver
Jon Crown,1,silver
Kevin Blanchette,1,silver
Kurt Lemay,1,silver
Kyle Barbour,1,silver
Max Simons,1,silver
Michael McWeezerson,1,silver
Selena Boonstra,1,silver
Turboshid Hyperdookie,1,silver
Zodi Fade,1,silver
Caio Junior,2,gold
Crimson Bat,2,gold
Curtis Lee,2,gold
DJ Watts,2,gold
Dylan Bonsell,2,gold
Juan Caro,2,gold
Justin MacKechnie,2,gold
Martin Smith,2,gold
Mason Moffett,2,gold
Matt Artim,2,gold
Michael Jeffries,2,gold
Mike Geno,2,gold
Niko Suave,2,gold
Pawel Kreska,2,gold
Phillipe Enis Müller,2,gold
Ren Aoki,2,gold
Ryan Garrity,2,gold
Sean Leitch,2,gold
Thomas Olhausen,2,gold
Travis Tatro,2,gold
Trey Morgan,2,gold
Wilder Vargas,2,gold
Alexandre Giordano,2,silver
Barry Jerry,2,silver
Beardedx Badass,2,silver
Caleb Tenney,2,silver
Hunter Gale,2,silver
Jackson Thomas,2,silver
Jess Osborn,2,silver
Loukas Klentzeris,2,silver
Mack Morgan,2,silver
Pablo Ferrer,2,silver
Panzo Rigatoni,2,silver
Pat Cockcroft,2,silver
Pots Weaver,2,silver
Professor Chronotis,2,silver
Ramon Lorenzo,2,silver
Riley Greear,2,silver
Roger Rodriguez,2,silver
Sean Curcio,2,silver
Sean Williams,2,silver
Shane Lewis,2,silver
Sig SVG,2,silver
Steeve Foster,2,silver
Travis Fletcher,2,silver
Tristan Zamora,2,silver
Tyler Egeli,2,silver
Valter Giovagnoli,2,silver
Ben Borell,3,gold
Cezary Penkiewicz,3,gold
Don Draper,3,gold
Ian Demler,3,gold
Jason Yaron,3,gold
Jeremy Yaron,3,gold
John Ansom,3,gold
Jon Baham,3,gold
Juicy Jake,3,gold
Mark Kaszuba,3,gold
Matt Matasy,3,gold
Mike Ferro,3,gold
RD Thomson,3,gold
Raf CAB,3,gold
Sascha Dickhaus,3,gold
Sean Paul,3,gold
Sleepy Joe,3,gold
Stefan Buckley,3,gold
Steven Music,3,gold
Thomas Greer,3,gold
Tony Zsigmond,3,gold
Tyler Thompson,3,gold
Aaron Kovach,3,silver
Aidan Springer,3,silver
Andrew Duongbongleo,3,silver
Brad Bertram,3,silver
Brad Garman,3,silver
Bruce Hopkins,3,silver
Chris Mek,3,silver
Chris Reaper,3,silver
Christian Duerksen,3,silver
Cliff Hemeon,3,silver
Craig Mar,3,silver
Dario Ferrer,3,silver
Darren Robichaud,3,silver
David Smith,3,silver
Jaroslaw Koval,3,silver
Joey Vanwinkle,3,silver
Josh Parker,3,silver
Kasra Arabi,3,silver
Mark Allen,3,silver
Neil Leeder,3,silver
Paulo Reis,3,silver
Peachy M Stearns,3,silver
Peter Jacob,3,silver
Rowan Baham,3,silver
Sergio Lindo,3,silver
Stephen Sarver,3,silver
Alan Leung,4,gold
Andy Hohenberger,4,gold
Anthony Moreira,4,gold
Ben Roberts,4,gold
Brad Morath,4,gold
Conor Farrell,4,gold
Cory Mummery,4,gold
Daniel Alyra,4,gold
Daniel Builes,4,gold
Danny Scarbro,4,gold
Dyck Zipperburn Sr.,4,gold
Emil Garcia,4,gold
Ian Gilchrist,4,gold
Jason Whitwam,4,gold
Jeremy Rann,4,gold
John Donahue,4,gold
Max Yang,4,gold
Neil Kerbal,4,gold
Shane Sullivan,4,gold
Stephen Pellerin,4,gold
Alejandro Guarin,4,silver
Bruce McLaren,4,silver
Conner Waitkus,4,silver
Dalton Parsons,4,silver
Dan Meyer,4,silver
Danyel Roberts,4,silver
Dawson Tremelling,4,silver
Deni Savard,4,silver
Jason Yu,4,silver
Jermaine Rose,4,silver
Juan Herran,4,silver
Kyle Boise,4,silver
Lenu Gold,4,silver
Lilium Noctis,4,silver
Mathieu Beaudin,4,silver
Nectar Bandit Koda,4,silver
Niko Konstantinos,4,silver
Prodigy Don,4,silver
Quinn Jetter,4,silver
Ronald Khong,4,silver
Tom Whalen,4,silver
Tomas Kiss,4,silver
Zander Ady,4,silver
